Jake Zuehlke,jzuehlke5@my.wctc.edu
Rage Dump,rage@slamthecheese.com
Bender Bending Rodriguez,bender@benderisgreat.com
Tahoe "Tuckahoe" Greg,tgreg@wildcountryrecords.com
Slurms McKenzie,partyworm@slurm.com
Matthew "Rickety Cricket" Mara,cricks@iasip.com
Barney Stinson,legend@waitforit.com
Ash Ketchum,ash@pokemon.com
Shaky Steve,steve@theshakeshack.com
Hulk Hogan,ohyeah@hulkamania.com
Seto Kaiba,seto@kaibacorp.com
Red Power Ranger,red@megazord.com
Skeletor,skeletor@illgetyouheman.com
Sideshow Bob,bob@diebart.com
John Connor,jconnor@skynetresistance.com
Haas Delgato,haas@tgaobam.com
Snake Pliskin,snake@escape.com
Douglas Quaid,dquaid@recall.com
Randy Marsh,rmarsh@southpark.com
Buzz Lightyear,buzz@pixar.com
Samus Aran,saran@metroid.com
Bilbo Baggins,bbaggins@lotr.com
Soma Cruz,scruz@alucard.com
John Petrucci,jpetrucci@dreamtheater.com
Deckard Cain,dcain@stayawhile.com
